Utterance Id,Conversation Id,Sentence Tags,Level of Difficulty,Character,Utterance
1,1,Question,,1,Hi I was thinking about talking to HR about a potential raise. What do you think ?
2,1,,,2,Hey! That's great that you're thinking about talking to HR about a raise. I'm sure you deserve it! What do you think the chances are that you'll get it?
3,1,,,1,Thank you! I think there is a decent chance. I have provided our department with a 30% increase in output while keeping under budget.
4,1,,,2,"Wow, that's awesome! You definitely have a strong case for a raise. I think it's definitely worth a shot to talk to HR about it. Good luck!"
5,1,,,1,Do you have any advice. Show I show myself as a confident in my demands or should I show more humility?
6,1,,,2,"I think it's important to be confident in yourself and your abilities, but it's also important to be humble. I think the best approach is to focus on the value that you bring to the company and how you've contributed to its success. Emphasize what you've accomplished and how you've helped the company achieve its goals, but also be open to feedback and willing to continue learning and growing. Good luck!"
7,2,,,1,"I'm worried about my dog Lucy, she's not been eating her usual portions. She also seems lethargic and sad."
8,2,,,2,"Oh no, that sounds really worrying! I'm sorry to hear that Lucy's not feeling well. Is there anything I can do to help?"
9,2,,,1,I just dont know if this is normal behavior or if I should just go to the vet.
10,2,,,2,"Hmm, that's tough. It might be a good idea to call the vet and see what they think. They'll be able to give you some advice based on what's going on with Lucy. In the meantime, maybe try giving her some of her favorite treats or trying to tempt her with some different types of food to see if that helps. And make sure she's getting plenty of rest and lots of love from you!"
11,2,,,1,That's very good advice. Thank you. She loves to eat very meaty treats. Do you know of any other type of dog treat she might enjoy?
12,2,,,2,"There are so many different types of dog treats out there, it can be tough to know where to start! Some other options you might want to try are freeze-dried meat treats, which are usually made from a single ingredient (like chicken or beef) and are packed with flavor. You could also try making your own treats at home using a simple recipe like mixing together some mashed sweet potato and a little bit of cooked chicken. Or, you could try giving her some healthy human foods as treats, like small pieces of cooked carrot or a little bit of cheese. Just be sure to check with your vet first to make sure any new treats you give her are safe and appropriate for her specific needs."
13,2,,,1,"Are there any faux pas with making dog treats? Say, like adding chocolate to the mix ?"
14,2,,,2,"There are definitely some ingredients that you'll want to avoid when making treats for your dog. Chocolate is one of them, as it can be toxic to dogs and can cause symptoms like vomiting, diarrhea, and tremors. Other ingredients to avoid include things like grapes and raisins, which can also be toxic to dogs, as well as onions and garlic, which can cause anemia. You'll also want to be careful about giving your dog treats that are high in fat or sugar, as these can contribute to health problems like obesity and dental issues. Stick to using simple, healthy ingredients, and you should be good to go!"
15,2,,,1,Shes a Dachshund so she is a bit fat and might potentially develop diabetes. Any treats that might keep her lean?
16,2,,,2,"If your Dachshund is at risk for developing diabetes or is overweight, it's especially important to be mindful of the treats you give her. Look for low-fat, low-sugar treats that are made with healthy ingredients like whole grains, fruits, and vegetables. You might also want to try giving her smaller amounts of treats more frequently, rather than a few larger treats throughout the day. Another option could be to use healthy ""people food"" as treats, like small pieces of cooked carrot or a slice of apple. Just be sure to check with your vet before making any changes to your dog's diet or treat routine, to make sure you're meeting her specific needs."
17,2,,,1,Maybe some daily exercise might be essential as well. Would you happen to know how much exercise a dog of her breed might need per day?
